subject
运动的描述
机械运动
参考系
时间
位移
坐标系
标量与矢量
路程与位移
速度
速率与速度
平均速度与瞬时速度
加速度
加速度的定义
加速度的分析与计算
匀变速直线运动
匀变速直线运动的研究
匀变速直线运动推论
匀变速直线运动的比例关系
自由落体运动
竖直上抛运动
运动图像
v-t图像
追及与相遇问题
刹车问题
直线运动多过程问题
相互作用
力
重力
重力的作用点：重心
弹力
弹力的理解
胡克定律
微小形变的弹力
摩擦力
静摩擦力
滑动摩擦力
力的合成
力的分解
共点力的平衡
共点力的平衡条件
平衡问题中临界与极值问题
牛顿运动定律
牛顿第一定律
牛顿第二定律
力学单位制
基本单位
导出单位
超重与失重
牛顿运动定律的应用
牛顿运动定律的两类基本问题
斜面模型
连接体模型
传送带模型
板块模型
曲线运动
曲线运动的认识
曲线运动的概念
曲线运动的条件
运动的合成与分解
位移和速度的合成与分解
小船渡河问题
关联速度问题
平抛运动
平抛运动的规律
平抛运动的推论
生活中的平抛运动
圆周运动
圆周运动的描述
线速度
角速度与转速
线速度与角速度的关系
向心力
向心加速度
水平面内的圆周运动
竖直平面内的圆周运动
离心运动
万有引力与宇宙航行
行星的运动
开普勒行星运动定律
万有引力定律
万有引力定律的发现
万有引力理论的成就
万有引力与重力的关系
万有引力定律的应用
宇宙速度
第一宇宙速度
同步卫星与近地卫星
一般人造卫星
双星（多星）问题
牛顿力学局限性与相对论初步
相对论时空观
狭义相对论
时间和空间的相对性
广义相对论
机械能及其守恒定律
功
功的概念和计算
几种常见力做功的特点
变力做功的常见解法
功率
功率及其计算
机车启动
动能和动能定理
动能
动能定理
动能定理的简单应用
动能定理的综合应用
势能
重力势能
弹性势能
机械能守恒定律
机械能
机械能守恒定律及其条件
机械能守恒定律的应用
功能关系
能源与可持续发展
能量守恒定律
动量及其守恒定律
动量
冲量
动量定理
动量定理的应用
动量守恒定律
判断系统动量是否守恒
动量守恒定律的应用
碰撞
弹性碰撞
非弹性碰撞
非完全弹性碰撞问题
爆炸、反冲问题
爆炸问题
反冲问题
动量守恒定律解决多过程问题
机械振动与机械波
机械振动
简谐运动
简谐运动的定义和描述
简谐运动的弹簧振子模型
单摆
简谐运动的单摆模型
单摆的周期公式
外力作用下的振动
阻尼振动
受迫振动与共振
机械波
波的形成
波的描述
波的图象
波的多解问题
波的反射和折射
波面与波线
惠更斯原理
波的干涉和衍射
波的衍射
波的干涉
超声波和次声波
电磁学
静电场
电荷和静电现象
电荷
静电现象
静电的应用和防护
静电现象与静电平衡
静电屏蔽
库仑定律
电场力的性质
电场强度
电场线
电场能的性质
电势能
电势
电势差
等势面
电势差与电场强度的关系
电场线、等势面和运动轨迹的定性分析
电容器与电容
电容器
电容
平行板电容器的电容
电容器的动态分析
电容器的充放电与储能
带电粒子在电场中的运动
带电粒子在匀强电场中的直线运动
带电粒子在匀强电场中的偏转
带电微粒（计重力）在电场中的运动
示波管及其应用
恒定电流
电流
电阻
电阻定律
影响材料电阻率的因素
串联电路和并联电路
欧姆定律
串并联电路的特点
滑动变阻器的接法
电表改装
电功和电功率
焦耳定律
非纯电阻电路
电动势
闭合电路的欧姆定律
动态电路分析
故障电路分析
含容电路分析
简单逻辑电路
门电路
常用的逻辑电路
磁场
磁现象和磁场
磁场与磁感线
磁感应强度
几种常见的磁场
磁通量
电流的磁效应
安培分子电流假说
安培力
安培力的方向
安培力的大小
洛伦兹力
洛伦兹力的大小
带电粒子在磁场中的运动
带电粒子在无边界匀强磁场中运动
带电粒子（微粒）在非匀强磁场中的运动
带电粒子在有边界磁场中运动
带电粒子在磁场中运动的多解问题
带电粒子在复合场中的运动
质谱仪
回旋加速器
霍尔效应
磁流体发电机
电磁流量计
带电粒子在组合场中的运动
带电粒子在叠加场中的运动
电磁感应
电磁感应现象
探究感应电流产生的条件
感应电流方向的判断
右手定则
楞次定律
法拉第电磁感应定律
法拉第电磁感应定律的内容
